,Latitude,Longitude,Suburb,Address,Phone,Municipality,Categories
0,-37.869153,144.8290721,Altona,123 Queen Street  Altona  3018,9932 1330,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Altona', 'Library']"
1,-37.87386228,144.7726799,Altona Meadows,2 Newham Way  Altona Meadows  3025,9932 3020,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Altona Meadows', 'Library']"
2,-37.77402158,144.9155657,Ascot Vale,165 Union Road  Ascot Vale  3032,8325 1990,Moonee Valley City Council,"['Moonee Valley City Council', 'Ascot Vale', 'Library']"
3,-37.86323577,145.0768989,Ashburton,154 High Street  Ashburton  3147,9278 4633,Boroondara City Council,"['Boroondara City Council', 'Ashburton', 'Library']"
4,-37.81352265,145.085528,Balwyn,336 Whitehorse Road  Balwyn  3103,9278 4644,Boroondara City Council,"['Boroondara City Council', 'Balwyn', 'Library']"
5,-37.98180541,145.0337148,Beaumaris,96 Reserve Road  Beaumaris  3193,9599 4368,Bayside City Council,"['Bayside City Council', 'Beaumaris', 'Library']"
6,-37.90894,145.35256,Belgrave,Reynolds Lane  Belgrave  3160,9754 7266,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Belgrave', 'Library']"
7,-37.91958552,145.041327,Bentleigh,161 Jasper Road  Bentleigh  3204,9557 8278,Glen Eira City Council,"['Glen Eira City Council', 'Bentleigh', 'Library']"
8,-37.82169492,145.15225669999995,Blackburn,Cnr Blackburn & Central Roads  Blackburn  3130,9878 6851,Whitehorse City Council,"['Whitehorse City Council', 'Blackburn', 'Library']"
9,-37.86382,145.28448999999995,Boronia,Park Crescent  Boronia  3155,9762 4099,Knox City Council,"['Knox City Council', 'Boronia', 'Library']"
10,-37.81834525,145.1267976,Box Hill,1040 Whitehorse Road  Box Hill  3128,9890 1002,Whitehorse City Council,"['Whitehorse City Council', 'Box Hill', 'Library']"
11,-37.91087399,144.99760700000004,Brighton,14 Wilson Street  Brighton  3186,9591 5900,Bayside City Council,"['Bayside City Council', 'Brighton', 'Library']"
12,-37.20350566,145.0471688,Broadford,10/29 Powlett Street  Broadford  3658,5784 3357,Mitchell Shire Council,"['Mitchell Shire Council', 'Broadford', 'Library']"
13,-37.77191,144.961131,Brunswick,Corner of Sydney Road and Dawson Street  Brunswick  3056,9389 8600,Moreland City Council,"['Moreland City Council', 'Brunswick', 'Library']"
14,-37.76587,145.09179,Bulleen,Bulleen Plaza  Manningham Road  Bulleen  3105,9852 2288,Manningham City Council,"['Manningham City Council', 'Bulleen', 'Library']"
15,-37.83498667,145.0589637,Camberwell,25 Inglesby Road  Camberwell  3124,9278 4655,Boroondara City Council,"['Boroondara City Council', 'Camberwell', 'Library']"
16,-37.78951849,144.9715862,Carlton,667 Rathdowne Street  Carlton  3054,1300 695 427,Melbourne City Council,"['Melbourne City Council', 'Carlton', 'Library']"
17,-37.88744034,145.0582785,Carnegie,7 Shepparson Avenue  Carnegie  3163,9563 0971,Glen Eira City Council,"['Glen Eira City Council', 'Carnegie', 'Library']"
18,-38.10867319,145.179497,Carrum Downs,203 Lyrebird Drive  Carrum Downs  3201,9782 0418,Frankston City Council,"['Frankston City Council', 'Carrum Downs', 'Library']"
19,-37.8800209,145.02291,Caulfield,Cnr Glen Eira & Hawthorn Roads  Caulfield  3162,9532 9466,Glen Eira City Council,"['Glen Eira City Council', 'Caulfield', 'Library']"
20,-38.05060886,145.1161004,Chelsea,1 Chelsea Road  Chelsea  3196,1300 135 668,Kingston City Council,"['Kingston City Council', 'Chelsea', 'Library']"
21,-37.96766324,145.0565558,Cheltenham,12 Stanley Avenue  Cheltenham  3192,1300 135 668,Bayside City Council,"['Bayside City Council', 'Cheltenham', 'Library']"
22,-37.96766324,145.0565558,Cheltenham,12 Stanley Avenue  Cheltenham  3192,1300 135 668,Kingston City Council,"['Kingston City Council', 'Cheltenham', 'Library']"
23,-37.94047325,145.10211230000004,Clarinda,58 Viney Street  Clarinda  3169,1300 135 668,Kingston City Council,"['Kingston City Council', 'Clarinda', 'Library']"
24,-37.92678,145.11851,Clayton,Cooke Street  Clayton  3168,9544 0668,Monash City Council,"['Monash City Council', 'Clayton', 'Library']"
25,-37.74325,144.96533,Coburg,Cnr Victoria & Louisa Streets  Coburg  3058,9353 4000,Darebin City Council,"['Darebin City Council', 'Coburg', 'Library']"
26,-37.74325,144.96533,Coburg,Cnr Victoria & Louisa Streets  Coburg  3058,9353 4000,Moreland City Council,"['Moreland City Council', 'Coburg', 'Library']"
27,-37.80443139,144.99308059999996,Collingwood,11 Stanton Street  Abbotsford  Collingwood  3067,1300 695 427,Yarra City Council,"['Yarra City Council', 'Collingwood', 'Library']"
28,-37.59831531,144.9339585,Craigieburn,59 Craigieburn Road  Craigieburn  3064,9308 2511,Hume City Council,"['Hume City Council', 'Craigieburn', 'Library']"
29,-38.11468016,145.2965794,Cranbourne,65 Berwick-Cranbourne Road  Cranbourne  3977,(03) 5996 3611,Casey City Council,"['Casey City Council', 'Cranbourne', 'Library']"
30,-37.80057,145.2817,Croydon,Civic Square  Croydon  3136,9294 5640,Maroondah City Council,"['Maroondah City Council', 'Croydon', 'Library']"
31,-37.984241,145.217634,Dandenong,Stuart Street  Dandenong  3175,9238 1489,Greater Dandenong City Council,"['Greater Dandenong City Council', 'Dandenong', 'Library']"
32,-37.75221,144.77732,Deer Park,Cnr Neale & Station Roads  Deer Park  3023,9360 4499,Brimbank City Council,"['Brimbank City Council', 'Deer Park', 'Library']"
33,-37.994749,145.238459,Doveton,Autumn Place  Doveton  3177,(03) 9792 9497,Casey City Council,"['Casey City Council', 'Doveton', 'Library']"
34,-37.81537953,144.9865314,East Melbourne,122 George St  East Melbourne  3002,9658 9600,Melbourne City Council,"['Melbourne City Council', 'East Melbourne', 'Library']"
35,-37.88414449,145.00444869999995,Elsternwick,4 Staniland Grove  Elsternwick  3185,9532 9321,Glen Eira City Council,"['Glen Eira City Council', 'Elsternwick', 'Library']"
36,-37.716198,145.14616,Eltham,Panther Place  Eltham  3095,9439 9266,Banyule City Council,"['Banyule City Council', 'Eltham', 'Library']"
37,-37.716198,145.14616,Eltham,Panther Place  Eltham  3095,9439 9266,Nillumbik Shire Council,"['Nillumbik Shire Council', 'Eltham', 'Library']"
38,-37.92952552,145.4450282,Emerald,400B Belgrave-Gembrook Road  Emerald  3782,5968 3925,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Emerald', 'Library']"
39,-37.978239,145.259917,Endeavour Hills,Raymond McMahon Blvd  Endeavour Hills  3802,(03) 9700 7177,Casey City Council,"['Casey City Council', 'Endeavour Hills', 'Library']"
40,-37.77758758,145.0193193,Fairfield,121 Station Street  Fairfield  3078,1300 655 355,Darebin City Council,"['Darebin City Council', 'Fairfield', 'Library']"
41,-37.77758758,145.0193193,Fairfield,121 Station Street  Fairfield  3078,1300 655 355,Yarra City Council,"['Yarra City Council', 'Fairfield', 'Library']"
42,-37.702514,144.97001699999996,Fawkner,Jukes Road  Fawkner  3060,9355 4200,Moreland City Council,"['Moreland City Council', 'Fawkner', 'Library']"
43,-37.702514,144.97001699999996,Fawkner,Jukes Road  Fawkner  3060,9355 4200,Hume City Council,"['Hume City Council', 'Fawkner', 'Library']"
44,-37.89044262,145.29121640000002,Ferntree Gully,1010 Burwood Highway  Ferntree Gully  3156,9294 8140,Knox City Council,"['Knox City Council', 'Ferntree Gully', 'Library']"
45,-37.80171709,144.9790185,Fitzroy,128 Moor Street  Fitzroy  3065,1300 695 427,Yarra City Council,"['Yarra City Council', 'Fitzroy', 'Library']"
46,-37.78846916,144.930478,Flemington,313 Racecourse Road  Flemington  3031,8325 1975,Melbourne City Council,"['Melbourne City Council', 'Flemington', 'Library']"
47,-37.78846916,144.930478,Flemington,313 Racecourse Road  Flemington  3031,8325 1975,Moonee Valley City Council,"['Moonee Valley City Council', 'Flemington', 'Library']"
48,-37.80026175,144.8956908,Footscray,56 Paisley Street  Footscray  3011,9688 0290,Maribyrnong City Council,"['Maribyrnong City Council', 'Footscray', 'Library']"
49,-38.14573441,145.1236738,Frankston,60 Playne Street  Frankston  3199,9784 1020,Frankston City Council,"['Frankston City Council', 'Frankston', 'Library']"
50,-37.689205,144.890633,Gladstone Park,Taylor Drive  Gladstone Park  3043,9338 8529,Hume City Council,"['Hume City Council', 'Gladstone Park', 'Library']"
51,-37.70675552,144.9160004,Glenroy,737 Pascoe Vale Road  Glenroy  3046,8311 4100,Moreland City Council,"['Moreland City Council', 'Glenroy', 'Library']"
52,-37.882133,145.163557,Glen Waverley,112 Kingsway  Glen Waverley  3150,9560 1655,Monash City Council,"['Monash City Council', 'Glen Waverley', 'Library']"
53,-37.93881793,145.0028226,Hampton,1D Service Street  Hampton  3188,9599 4362,Bayside City Council,"['Bayside City Council', 'Hampton', 'Library']"
54,-38.03400092,145.2640263,Hampton Park,22-26 Stuart Avenue  Hampton Park  3976,(03) 9702 9744,Casey City Council,"['Casey City Council', 'Hampton Park', 'Library']"
