Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
Botanic Gardens,Casey City Council,Royal Botanic Gardens Cranbourne,145.27819440000005,-38.1315278,,,Botanic Ridge,"['Casey City Council', 'Botanic Ridge', 'Park']"
Botanic Gardens,Casey City Council,Wilson Botanic Garden,145.33902780000003,-38.0251389,,,Berwick,"['Casey City Council', 'Berwick', 'Park']"
Botanic Gardens,Port Phillip City Council,Saint Kilda Botanical Gardens,144.9843056,-37.87013889999999,"'Named by Lieutenant-Governor Latrode after a small vessel called the Lady of St Kilda.'  'The St Kilda was a yacht owned by Colonel Acland, and was wrecked near the Red Bluff.'  'The place was named after St. Kilda, a small island on the west coast of Scotland.'",,St Kilda,"['Port Phillip City Council', 'St Kilda', 'Park']"
Botanic Gardens,Melbourne City Council,Royal Botanic Gardens,144.97847219999997,-37.82930560000001,"Traditional Name: Tromgin Explanation: N/A Discussion on Current Name: according to William Thomas (30/4/1846 in VPRS 4410, Item 86), the n of the swamp later remodelled to form the lake at the Royal Botanic Gardens. Became a frequent place of habitation for Boonwurrung, Daungwurrung and Woiwurrung people,  William Thomas 30/4/1846 in VPRS 4410, Item 86.",http://www.vaclang.org.au,South Yarra,"['Melbourne City Council', 'South Yarra', 'Park']"
National Park,Hobsons Bay City Council,Jawbone Marine Sanctuary,144.8761472,-37.8652389,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
National Park,Mornington Peninsula Shire Council,Mornington Peninsula National Park,144.8907,-38.4768028,,,Cape Schanck,"['Mornington Peninsula Shire Council', 'Cape Schanck', 'Park']"
National Park,Mornington Peninsula Shire Council,Mushroom Reef Marine Sanctuary ,145.0161306,-38.4819639,,,Flinders,"['Mornington Peninsula Shire Council', 'Flinders', 'Park']"
National Park,Mornington Peninsula Shire Council,Nepean Park,144.92725,-38.4512194,,,Boneo,"['Mornington Peninsula Shire Council', 'Boneo', 'Park']"
National Park,Mornington Peninsula Shire Council,Point Nepean National Park,144.6804889,-38.3126861,,,Portsea,"['Mornington Peninsula Shire Council', 'Portsea', 'Park']"
National Park,Casey City Council,Churchill National Park,145.25985559999995,-37.9493028,,,Endeavour Hills,"['Casey City Council', 'Endeavour Hills', 'Park']"
National Park,Yarra Ranges Shire Council,Dandenong Ranges National Park,145.3442889,-37.8463806,,,The Basin,"['Yarra Ranges Shire Council', 'The Basin', 'Park']"
National Park,Yarra Ranges Shire Council,Lysterfield Park,145.2955556,-37.9461111,,,Lysterfield,"['Yarra Ranges Shire Council', 'Lysterfield', 'Park']"
National Park,Bayside City Council,Ricketts Point Marine Sanctuary,145.0295917,-37.9920917,,,Beaumaris,"['Bayside City Council', 'Beaumaris', 'Park']"
National Park,Brimbank City Council,Organ Pipes National Park,144.76833330000005,-37.6669444,,,Bulla,"['Brimbank City Council', 'Bulla', 'Park']"
National Park,Nillumbik Shire Council,Kinglake National Park,145.3421,-37.5734778,,,Steels Creek,"['Nillumbik Shire Council', 'Steels Creek', 'Park']"
National Park,Wyndham City Council,Point Cooke Marine Sanctuary,144.7977139,-37.9197806,,,Point Cook,"['Wyndham City Council', 'Point Cook', 'Park']"
National Park,Hume City Council,Woodlands Historic Park,144.85,-37.6466667,,,Melbourne Airport,"['Hume City Council', 'Melbourne Airport', 'Park']"
Park,Hobsons Bay City Council,A B Shaw Reserve,144.7822176,-37.8643547,'Elected to Council 1973.  Mayor - City of Altona 1978 - 79 and 1986 - 87.',,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,A H Ford Reserve,144.813493,-37.8608556,,,Altona,"['Hobsons Bay City Council', 'Altona', 'Park']"
Park,Hobsons Bay City Council,A W Bond Reserve,144.8451874,-37.8276043,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,A W Knight Reserve,144.78611840000005,-37.88016270000001,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,A W Langshaw Reserve,144.8515345,-37.8361236,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Ada Cambridge Forecourt,144.8961551,-37.8584782,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Alma Avenue Reserve,144.783153,-37.8694532,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,Altona Coastal Park,144.8584722,-37.8598611,,,Williamstown North,"['Hobsons Bay City Council', 'Williamstown North', 'Park']"
Park,Hobsons Bay City Council,Altona Meadows Reserve,144.7828272,-37.8787589,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
Park,Hobsons Bay City Council,Altona Sports Park,144.8526389,-37.8631944,,,Seaholme,"['Hobsons Bay City Council', 'Seaholme', 'Park']"
Park,Hobsons Bay City Council,Armstrong Reserve,144.88826469999995,-37.8470628,,,Newport,"['Hobsons Bay City Council', 'Newport', 'Park']"
Park,Hobsons Bay City Council,Bates Reserve,144.8984722,-37.8515278,,,Williamstown,"['Hobsons Bay City Council', 'Williamstown', 'Park']"
Park,Hobsons Bay City Council,Beverley Anton Reserve,144.77319350000005,-37.85157810000001,"Named after one of the first residents in the Laverton area, a local identity involved in teaching and dancing who also made a noteworthy contribution to the community.",,Laverton,"['Hobsons Bay City Council', 'Laverton', 'Park']"
Park,Hobsons Bay City Council,Bond Reserve,144.8423611,-37.8270833,,,Altona North,"['Hobsons Bay City Council', 'Altona North', 'Park']"
Park,Hobsons Bay City Council,Brooklyn Reserve,144.84627680000003,-37.8223329,,,Brooklyn,"['Hobsons Bay City Council', 'Brooklyn', 'Park']"
Park,Hobsons Bay City Council,Brown Avenue Reserve,144.7771571,-37.8841947,,,Altona Meadows,"['Hobsons Bay City Council', 'Altona Meadows', 'Park']"
