Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Yarra City Council,Alfred Crescent Oval and Pavilion,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Brunswick Street Fitzroy 3065,,,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Football']"
Yarra City Council,Alphington Park Oval and Pavilion,Alphington,-37.783779,145.029131,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Parkview Road Alphington 3067,,,,"['Yarra City Council', 'Alphington', 'Sports', 'Football']"
Yarra City Council,Loughan Oval and Johnson Pavilion,Burnley,-37.828576,145.020462,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Swan Street Burnley 3121,,,,"['Yarra City Council', 'Burnley', 'Sports', 'Football']"
Yarra City Council,Ramsden Street Oval and Pavilion,Fairfield,-37.789873,145.00311100000000,Australian Rules Football,1.0,Grass,2. Poor,,Ramsden Street Fairfield 3078,,,,"['Yarra City Council', 'Fairfield', 'Sports', 'Football']"
Yarra City Council,Victoria Park,Abbotsford,-37.79858,144.996607,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Turner Street Abbotsford 3067,,,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Football']"
Yarra City Council,Collingwood Secondary College,Collingwood,-37.803256,144.98903,Basketball,2.0,Wooden Gymnasium,3. Average,,Mc Cutcheon Way Collingwood,,,,"['Yarra City Council', 'Collingwood', 'Sports', 'Basketball']"
Yarra City Council,Fitzroy Secondary  School,Fitzroy,-37.800909,144.979157,Basketball,1.0,Wooden Gymnasium,,,Falconer Street Fitzroy,,,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Basketball']"
Yarra City Council,Melbourne Girls College,Burnley,-37.82969,145.012699,Basketball,2.0,Wooden Gymnasium,,,Yarra Boulevard Burnley,,,,"['Yarra City Council', 'Burnley', 'Sports', 'Basketball']"
Yarra City Council,Princes Hill Seconary College,Princes Hill,-37.781818,144.966587,Basketball,1.0,Wooden Gymnasium,,,Arnold Strret Princes Hill,,,,"['Yarra City Council', 'Princes Hill', 'Sports', 'Basketball']"
Yarra City Council,Melbourne Aboriginal Sport and Recreation Gym,Fitzroy,-37.805467,144.974449,Boxing,,,3. Average,,Gertrude Street Fitzroy,,,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Boxing']"
Yarra City Council,Richmond Boxing Club,Richmond,-37.81838,145.001525,Boxing,,,2. Poor,"Female, Male",Gleadell Street Richmond,,,,"['Yarra City Council', 'Richmond', 'Sports', 'Boxing']"
Yarra City Council,Stanton Street Hall,Collingwood,-37.801956,144.98816400000000,Boxing,,,4. Good,,Stanton Street Collingwood,,,,"['Yarra City Council', 'Collingwood', 'Sports', 'Boxing']"
Yarra City Council,Richmond Recreation Centre,Richmond,-37.817688,145.002381,Canoe Polo,,,,,Gleadell Street Richmond 3121,,,,"['Yarra City Council', 'Richmond', 'Sports', 'Polo']"
Yarra City Council,Alan Bain Reserve and Pavilion,Cremorne,-37.830218,145.001134,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Church Street Cremorne 3121,,,,"['Yarra City Council', 'Cremorne', 'Sports', 'Cricket']"
Yarra City Council,Burnley Park Oval and OâConnell Pavilion,Burnley,-37.826103,145.01414500000000,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Park Grove Burnley 3121,,,,"['Yarra City Council', 'Burnley', 'Sports', 'Cricket']"
Yarra City Council,Corben Oval,Abbotsford,-37.795643,145.00771800000000,Cricket,1.0,Turf Pitch,2. Poor,Male,Yarra Bend Road Abbotsford 3067,,,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Cricket']"
Yarra City Council,Fairfield Park Oval and Maxwell Sutherland Pavilion,Fairfield,-37.785738,145.009954,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Yarra Bend Road Fairfield 3078,,,,"['Yarra City Council', 'Fairfield', 'Sports', 'Cricket']"
Yarra City Council,Latrobe Golf Course,Fairfield,-37.786367,145.034196,Golf,1.0,18 Hole Course - Private,,,Farm Road Fairfield 3078,,,,"['Yarra City Council', 'Fairfield', 'Sports', 'Golf']"
