,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
0,Yarra City Council,Citizenâs Park Oval and Jack Dyer Pavilion,Richmond,-37.817218,145.000351,Athletics,1.0,Grass Running Track,2. Poor,"Female, Male, Umpire/Officials",Gleadell Street Richmond 3121,,"['Yarra City Council', 'Richmond', 'Sports', 'Athletics']",,
1,Yarra City Council,George Knott Athletics Track and Ray Coverdale Pavilion,Clifton Hill,-37.784205,145.002319,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Heidelberg Road Clifton Hill 3068,,"['Yarra City Council', 'Clifton Hill', 'Sports', 'Athletics']",,
2,Yarra City Council,Alfred Crescent Oval and Pavilion,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Football']",,
3,Yarra City Council,Alphington Park Oval and Pavilion,Alphington,-37.783779,145.029131,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Parkview Road Alphington 3067,,"['Yarra City Council', 'Alphington', 'Sports', 'Football']",,
4,Yarra City Council,Loughan Oval and Johnson Pavilion,Burnley,-37.828576,145.020462,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Swan Street Burnley 3121,,"['Yarra City Council', 'Burnley', 'Sports', 'Football']",,
5,Yarra City Council,Ramsden Street Oval and Pavilion,Fairfield,-37.789873,145.00311100000000,Australian Rules Football,1.0,Grass,2. Poor,,Ramsden Street Fairfield 3078,,"['Yarra City Council', 'Fairfield', 'Sports', 'Football']",,
6,Yarra City Council,Victoria Park,Abbotsford,-37.79858,144.996607,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Turner Street Abbotsford 3067,,"['Yarra City Council', 'Abbotsford', 'Sports', 'Football']",,
7,Yarra City Council,W T Peterson Oval & Edinburgh Gardens Change Rooms,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Football']",,
8,Yarra City Council,Collingwood Secondary College,Collingwood,-37.803256,144.98903,Basketball,2.0,Wooden Gymnasium,3. Average,,Mc Cutcheon Way Collingwood,,"['Yarra City Council', 'Collingwood', 'Sports', 'Basketball']",,
9,Yarra City Council,Fitzroy Secondary  School,Fitzroy,-37.800909,144.979157,Basketball,1.0,Wooden Gymnasium,,,Falconer Street Fitzroy,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Basketball']",,
10,Yarra City Council,Melbourne Girls College,Burnley,-37.82969,145.012699,Basketball,2.0,Wooden Gymnasium,,,Yarra Boulevard Burnley,,"['Yarra City Council', 'Burnley', 'Sports', 'Basketball']",,
11,Yarra City Council,Princes Hill Seconary College,Princes Hill,-37.781818,144.966587,Basketball,1.0,Wooden Gymnasium,,,Arnold Strret Princes Hill,,"['Yarra City Council', 'Princes Hill', 'Sports', 'Basketball']",,
12,Yarra City Council,Edinburgh Gardens Bocce Courts,Fitzroy,-37.78753,144.982377,Bocce,1.0,,,,Brunswick Street Fitzroy 3065,,"['Yarra City Council', 'Fitzroy', 'Sports']",,
13,Yarra City Council,Hardy Gallagher Reserve Bocce Courts,Princess Hill,-37.779197,144.967058,Bocce,3.0,,,,Park Street Princess Hill 3054,,"['Yarra City Council', 'Princess Hill', 'Sports']",,
14,Yarra City Council,Melbourne Aboriginal Sport and Recreation Gym,Fitzroy,-37.805467,144.974449,Boxing,,,3. Average,,Gertrude Street Fitzroy,,"['Yarra City Council', 'Fitzroy', 'Sports', 'Boxing']",,
15,Yarra City Council,Richmond Boxing Club,Richmond,-37.81838,145.001525,Boxing,,,2. Poor,"Female, Male",Gleadell Street Richmond,,"['Yarra City Council', 'Richmond', 'Sports', 'Boxing']",,
16,Yarra City Council,Stanton Street Hall,Collingwood,-37.801956,144.98816400000000,Boxing,,,4. Good,,Stanton Street Collingwood,,"['Yarra City Council', 'Collingwood', 'Sports', 'Boxing']",,
