,Feature Type,Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
0,Historic Site,Mornington Peninsula Shire Council,Collins Settlement Historic Site,144.7606944,-38.3470833,,,Sorrento,"['Mornington Peninsula Shire Council', 'Sorrento', 'Tourist', 'Historic Site']"
1,Historic Site,Moreland City Council,Pentridge Gaol,144.9698611,-37.7381944,"Pentridge Prison was established in 1851 as a result of increased pressure on the Penal system due to the gold rush and the need for a place to hold those convicted of serious offences. The first stage was the 1850-1857 Pentridge Stockade Complex, a relatively ad-hoc group of structures built by prison labour and using predominantly local materials. The second phase undertaken in the late 1850s and early 1860s was the construction of Inspector General William Champ's model prison complex, based on British exemplars and incorporating a relatively sophisticated system of prisoner classification and penal reform. The main structures constructed at this stage and still surviving are the Entrance Building, Warder's residences, Prison Hospital, Panopticon B Division, F Division, a Workshop building (now known as the Laundry) and most of the prison walls. These were all constructed of bluestone. The prison was gradually expanded and developed in stages, reflecting both developments in penology as well as broader Government policies relating to the operation of the prison system. Following the Stawell Royal Commission of 1870 an extensive work program for prisoners was introduced as part of the system at Pentridge and a complex known as the Industries was constructed. These included a timber yard, a woollen mill, carpenters' and blacksmiths' workshops completed in 1879 and tailors' and bootmakers' workshops completed in 1886. A female prison was constructed on the site between 1860 and 1865 which is now known as A Division. This was superseded when a new female prison was constructed on the site between 1887 and 1894 in order to provide completely separate accommodation for women. This section is now known as D Division. Pentridge remained the main female prison until it was replaced by the new women's prison, HM Prison Fairlea in 1956. Pentridge was also the location of reformatories for both girls and boys, established following the findings of the Stawell Royal Commission of 1870. The Jika Reformatory for Boys was accommodated in an existing building (F Division), between 1875 and 1879, while a purpose built reformatory was constructed for the Jika Reformatory for Protestant Girls (G Division), which operated between 1875 and 1893. In 1900 labour yards for A Division were completed. During the 1950s these yards were later converted to a high security block which became known as H Division. In 1924 Pentridge replaced the Melbourne Gaol as the main remand and reception prison for the metropolitan area. The bodies of a number of prisoners executed at the Melbourne Gaol were exhumed and relocated to Pentridge, where they were reburied, possibly just east of D Division. Pentridge also became the venue for all subsequent hangings, until the last Victorian prisoner to suffer the death penalty, Ronald Ryan was executed in D Division in 1967. In April 1995 the Office of Corrections ordered that the six main towers at Pentridge be closed, since most of the high security prisoners from the gaol had been relocated to Barwon as part of the downgrading of Pentridge to a medium security prison. The prison was finally closed in 1996.",vhd.heritagecouncil.vic.gov.au/places/306,Coburg,"['Moreland City Council', 'Coburg', 'Tourist', 'Historic Site']"
2,Historic Site,Yarra Ranges Shire Council,Davis No. 1 Mill Site,146.0090278,-37.76680560000000,,,Noojee,"['Yarra Ranges Shire Council', 'Noojee', 'Tourist', 'Historic Site']"
3,Historic Site,Yarra Ranges Shire Council,Davis No. 2 Mill Site,146.0145833,-37.7695833,,,Noojee,"['Yarra Ranges Shire Council', 'Noojee', 'Tourist', 'Historic Site']"
4,Monument,Mornington Peninsula Shire Council,Cairns,144.9043056,-38.4409722,,,Boneo,"['Mornington Peninsula Shire Council', 'Boneo', 'Tourist', 'Monument']"
5,Monument,Mornington Peninsula Shire Council,Dromana,144.96458330000000,-38.33375,"Traditional Name: Kangerrong Explanation: N/A Discussion on Current Name: after settlement in 1854, known as Hobson's Flats (after local squatter),  present n derives from either Co Cork or Co Waterford (Ireland),  Robinson jnl, 27/7/1840.",http://www.vaclang.org.au,Dromana,"['Mornington Peninsula Shire Council', 'Dromana', 'Tourist', 'Monument']"
6,Monument,Maribyrnong City Council,Saigon Welcome Arch,144.9010467,-37.7997902,,,Footscray,"['Maribyrnong City Council', 'Footscray', 'Tourist', 'Monument']"
7,Monument,Maroondah City Council,Anzac Square,145.2813889,-37.7944444,"The monument and the surrounding land, which abuted the railway line was named Anzac Square in 1928 in a motion by Cr. Hochkins of Lilydale Council. The remaking of the roads and subsequent construction of the traffic roundabout the name was lost. Council formally requested the name be reinstated in a letter to the Office of Geographic Names dated 24th February 2006.",,Croydon,"['Maroondah City Council', 'Croydon', 'Tourist', 'Monument']"
8,Monument,Yarra Ranges Shire Council,Ambrose Pratt Memorial,145.3579167,-37.8840278,,,Sherbrooke,"['Yarra Ranges Shire Council', 'Sherbrooke', 'Tourist', 'Monument']"
9,Monument,Yarra Ranges Shire Council,School House Ridge,145.4598611,-37.6384722,,,Healesville,"['Yarra Ranges Shire Council', 'Healesville', 'Tourist', 'Monument']"
