Municipality,Place Name,Longitude,Latitude,Historical Information,Url,Suburb,Categories
Hobsons Bay City Council,Truganina Parish,144.7848611,-37.8501389,"Traditional Name: Truganina Explanation: personal name of a Tasmanian woman Discussion on Current Name: farming district 13 km from Werribee; n after supposed 'last' ofthe Tasmanian people, aka Lalla Rookh; Blake 1977: 260.",http://www.vaclang.org.au,Altona,"['Hobsons Bay City Council', 'Altona', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Balnarring Parish,145.0698611,-38.3815278,"Traditional Name: Balnarring Explanation: N/A Discussion on Current Name: Blake (1977:32) suggests a European origin of the name: Ballymerang, Irish Bally, 'land belonging to',  Gardner 1996: 27.",http://www.vaclang.org.au,Red Hill South,"['Mornington Peninsula Shire Council', 'Red Hill South', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Bittern Parish,145.1545833,-38.33430560000001,'So called from a bird of that name.',,Balnarring,"['Mornington Peninsula Shire Council', 'Balnarring', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Fingal Parish,144.9054167,-38.4445833,,,Boneo,"['Mornington Peninsula Shire Council', 'Boneo', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Flinders Parish,144.99819440000005,-38.4451389,Named after explorer and navigator Matthew Flinders who sailed into Port Phillip on the 'Investigator' in April 1802.,,Flinders,"['Mornington Peninsula Shire Council', 'Flinders', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Kangerong Parish,145.01958330000005,-38.3373611,Reputedly based on an Aboriginal word for small hailstones.,,Dromana,"['Mornington Peninsula Shire Council', 'Dromana', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Moorooduc Parish,145.0893056,-38.2448611,"Traditional Name: Moorooduc Explanation: N/A Discussion on Current Name: township S of Frankston,  surveyor Permein recorded n 1854,  Massola 1968: 35.",http://www.vaclang.org.au,Moorooduc,"['Mornington Peninsula Shire Council', 'Moorooduc', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Nepean Parish,144.7670833,-38.3590278,,,Blairgowrie,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Tyabb Parish,145.2104167,-38.2520833,"Traditional Name: Tyab Explanation: N/A Discussion on Current Name: Township; Parish, Co ofMornington; Thomas map 1840.",http://www.vaclang.org.au,Tyabb,"['Mornington Peninsula Shire Council', 'Tyabb', 'Worship', 'Parish', 'Christian']"
Mornington Peninsula Shire Council,Wannaeue Parish,144.9276389,-38.3854167,,,Rosebud,"['Mornington Peninsula Shire Council', 'Rosebud', 'Worship', 'Parish', 'Christian']"
Casey City Council,Berwick Parish,145.3354167,-38.02875,"Traditional Name: Narmnup Explanation: N/A Discussion on Current Name: n of Terence O'Connor's homestation 'Cardinia Creek',  Thomas map 1840.",http://www.vaclang.org.au,Berwick,"['Casey City Council', 'Berwick', 'Worship', 'Parish', 'Christian']"
Casey City Council,Cranbourne Parish,145.34625,-38.1081944,"'Named after Cranbourne, Berkshire, England.'",,Clyde North,"['Casey City Council', 'Clyde North', 'Worship', 'Parish', 'Christian']"
Casey City Council,Langwarrin Parish,145.22402780000004,-38.1640278,"Traditional Name: Langwarrin Explanation: N/A Discussion on Current Name: township E of Frankston,  Parish, Co of Mornington,  in 1843 Longwaring occupied by W Willoby,  Moorhead 1971: 46.",http://www.vaclang.org.au,Cranbourne South,"['Casey City Council', 'Cranbourne South', 'Worship', 'Parish', 'Christian']"
Maribyrnong City Council,Cut-Paw-Paw Parish,144.8745833,-37.80875,,,Kingsville,"['Maribyrnong City Council', 'Kingsville', 'Worship', 'Parish', 'Christian']"
Maroondah City Council,Ringwood Parish,145.2606944,-37.8159722,"'Named after a town in Hampshire, on Avon.'",,Ringwood East,"['Maroondah City Council', 'Ringwood East', 'Worship', 'Parish', 'Christian']"
Moonee Valley City Council,Doutta Galla Parish,144.9081944,-37.74875,"Traditional Name: Duttigalla Explanation: personal name Discussion on Current Name: early n for Melbourne settlement,  conferred on district of settlement by Batman in VDL after n of Jika Jika's wife,  n occurs as Parish name, state school, hotel etc,  Cooper 1912: 4.",http://www.vaclang.org.au,Essendon,"['Moonee Valley City Council', 'Essendon', 'Worship', 'Parish', 'Christian']"
Darebin City Council,Jika Jika Parish,144.9909722,-37.7504167,"Traditional Name: Jika Jika Explanation: personal name Discussion on Current Name: Batman wrote Jaga Jaga as n of Woiwurrung ngurungaeta, or chief, in 1835 ""deed"". E Preston known as J. J. until 1876,  Langhorne to Gurner 1817-1873.",http://www.vaclang.org.au,Preston,"['Darebin City Council', 'Preston', 'Worship', 'Parish', 'Christian']"
Darebin City Council,Keelbundora Parish,145.0623611,-37.7145833,"Traditional Name: Keelbundoora Explanation: personal name Discussion on Current Name: According to George Langhorne (in Gurner Papers), the parishes of Jika Jika and Keelbundora were n after two men,  Langhorne to Gurner 1817-1873.",http://www.vaclang.org.au,Macleod,"['Darebin City Council', 'Macleod', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Beenak Parish,145.7040278,-37.86125,"Traditional Name: Binak Explanation: basket Discussion on Current Name: rural locality NE of Gembrook on Falls Creek, also Mt Beenak,  Berwick-Pakenham HS 1982: 50,  Blake 1991.",http://www.vaclang.org.au,Gladysdale,"['Yarra Ranges Shire Council', 'Gladysdale', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Brimbonga Parish,145.8968056,-37.7434722,,,McMahons Creek,"['Yarra Ranges Shire Council', 'McMahons Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Burgoyne Parish,145.38763889999996,-37.61486110000001,,,Steels Creek,"['Yarra Ranges Shire Council', 'Steels Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Coornburt Parish,146.0426389,-37.69680560000001,"Parish around Armstrong Creek* and much of the Upper Yarra River*. Includes Cumberland Creek (2) and the Corra Linn Falls. The northern boundary of Coornburt is the ridge of the Great Dividing Range, so it includes parts of the Cumberland Scenic Reserve south of the ridge. Coornburt is separated from Manango to its west by a line running south from Mount Arnold along the divide between the O'Shannessy* and Armstrong* catchments. Aboriginal (Woiworung or Bunurong): chain, necklace, ornaments worn round neck (Bunce; Smyth, 1878); ""chain"" (Saxton); ""to tie up"" (Les Blake; Massola, 1968). Barry Blake lists gurn-bat, necklace. ",,McMahons Creek,"['Yarra Ranges Shire Council', 'McMahons Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Glenwatts Parish,145.64652780000003,-37.6543056,"Parish around Mount Juliet and the upper reaches of the Watts River. Glen (Gaelic gleann, valley) and Watts (River).",,Wesburn,"['Yarra Ranges Shire Council', 'Wesburn', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Gracedale Parish,145.55375,-37.7026389,"Parish including Healesville and Coranderrk. Saxton, followed by Les Blake, says it was named after Dr. Grace Vale (practising Ballarat*, 1890s); if so, it must have been named when she was an infant, because the name was in use by 1865. Grace's father, William Vale, was a Victorian M.P. (1864-65, 1865-69) and vice-president of the Board of Land and Works, 1866-68. See also Grace Burn.",,Badger Creek,"['Yarra Ranges Shire Council', 'Badger Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Gruyere Parish,145.46597219999995,-37.7168056,,,Gruyere,"['Yarra Ranges Shire Council', 'Gruyere', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Manango Parish,145.84430559999996,-37.6156944,"Parish (west of Coornburt, q.v.) including the O'Shannassy River* catchment. Its northern boundary is the ridge of the Great Dividing Range, so it includes Bellell Creek and a section of the Marysville Woods Point Road south-west of Mount Arnold. Aboriginal: hand (Les Blake). Barry Blake lists Woiworung marnang, marnong, hand. See also Ligar.",,McMahons Creek,"['Yarra Ranges Shire Council', 'McMahons Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Monbulk Parish,145.4004167,-37.8709722,"Traditional Name: Munbulluk Explanation: bulluk = lake Discussion on Current Name: also Monbulk Ck,  Clow 4/8/1853 in Bride 1983: 110.",http://www.vaclang.org.au,Monbulk,"['Yarra Ranges Shire Council', 'Monbulk', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Monda Parish,145.56680559999995,-37.6118056,"Parish, south of Mount Monda (q.v.) and Mount St. Leonard around the Maroondah Reservoir.",,Healesville,"['Yarra Ranges Shire Council', 'Healesville', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Mooroolbark Parish,145.3451389,-37.8009722,"Traditional Name: Mooroolbik Explanation: red earth country Discussion on Current Name: in 1837 n of pastoral run,  suburb of greater Melbourne,  Robinson jnl, 30/8/1840,  Blake Papers 2000.",http://www.vaclang.org.au,Montrose,"['Yarra Ranges Shire Council', 'Montrose', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Narree Worran Parish,145.3293056,-37.9440278,,,Belgrave Heights,"['Yarra Ranges Shire Council', 'Belgrave Heights', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,St. Clair Parish,146.11569440000005,-37.5801389,,,McMahons Creek,"['Yarra Ranges Shire Council', 'McMahons Creek', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Tarrawarra Parish,145.4554167,-37.6365278,Traditional name: Tarra.  'Thigh'.,,Healesville,"['Yarra Ranges Shire Council', 'Healesville', 'Worship', 'Parish', 'Christian']"
Yarra Ranges Shire Council,Tarrawarra North Parish,145.46569440000005,-37.56736110000001,Traditional name: Tarra.  'Thigh'.,,Dixons Creek,"['Yarra Ranges Shire Council', 'Dixons Creek', 'Worship', 'Parish', 'Christian']"
