Event Name,Place Name,Description,Day,Address,Phone Number,URL,Suburb,Tags,Latitude,Longitude
Turkish Women: Connect and Share,Carlton Womenâ€™s Turkish Group (cohealth),Connect and share experiences with other Turkish women. Language spoken by participants is Turkish.,Tuesday,"Community Hall, Ground Floor, 510 Lygon Street, Carlton, , Victoria, Australia",9448 6792,"maria.ibrahim@cohealth.org.au,  cohealth.org.au",Carlton,[Social Groups],-37.7947,144.96887
Cinema Nova,Cinema Nova,Enjoy an affordable day at the movies with discounted tickets.,Monday,"Lygon Court, 380 Lygon Street, Carlton, , Victoria, Australia",9347 5331,cinemanova.com.au,Carlton,[Arts and Culture],-37.79804,144.96767
Italian: Food and Fun,Circolo Pensionati Italiani di San Marco in Lamis,Join in for meals and outings with other members of the Italian community. Language spoken by participants is Italian.,Wednesday,"San Marco in Lamis Social Club, 149 Canning Street, Carlton, , Victoria, Australia",0402 026 116,graciepirro@yahoo.com,Carlton,[Social Groups],-37.79501,144.97309
Eritrean Men's social,Eritrean Menâ€™s Group (cohealth),"Take part in cultural events, meals, information and social activities with other men. Languages spoken by participants are Tigre, Tigrinya and Arabic",Thursday,"Community Hall, Ground Floor, 510 Lygon Street, Carlton, , Victoria, Australia",9448 6792,"maria.ibrahim@cohealth.org.au,  cohealth.org.au",Carlton,[Social Groups],-37.7947,144.96887
Eritrean Women's social,Eritrean Womenâ€™s Group (Carlton Neighbourhood Learning Centre),"Join other women in the community to share meals, social support and forums on particular issues.",Friday,"Community Hall, Ground Floor 510 Lygon Street, Carlton, , Victoria, Australia",9347 2739,"cdc@cnlc.org.au, cnlc.org.au",Carlton,[Social Groups],-37.7947,144.96887
Harari Women's social,Harari Womens Group (Carlton Neighbourhood Learning Centre),"Join other women in the community to share meals, social support and forums on particular issues.",Saturday,"Community Room, 38 Elgin Street, Carlton, , Victoria, Australia",9347 2739,"cdc@cnlc.org.au, cnlc.org.au",Carlton,[Social Groups],-37.79743,144.97322
Parkville Tennis Seniors' Social,Parkville Tennis Club Social Seniors Tennis,"If youâ€™re a beginner or coming back to tennis, come and enjoy a hit and morning tea. Suitable for all skill levels and held each week at Parkville Tennis Club. Anyone over the age of 35 is welcome. Racquets are available for loan.",Wednesday,"151 Royal Parade, Parkville, , Victoria, Australia",0412 279 156,"parkvilletennis@gmail.com, tennis.com.au/parkvilletc",Parkville,[Health and Wellbeing],-37.79119452605788,144.95838588096404
Somali Senior Women's Social,Somali Senior Womenâ€™s Group (cohealth),"Enjoy meals and share information, support and activities including walking and outings with other women. Language spoken by participants is Somali.",Friday,"Community Hall, 480 Lygon Street, Carlton, , Victoria, Australia",9448 6792,"maria.ibrahim@cohealth.org.au, cohealth.org.au",Carlton,[Social Groups],-37.79529,144.96828
Boyd's Community Walking,Boyd Community Hub Walking Group,A great way to stay active and socialise at the same time. Contact organiser for more information.,Wednesday,"Boyd Community Hub, 207 City Road, Southbank, , Victoria, Australia",9658 8314,"boyd@melbourne.vic.gov.au, melbourne.vic.gov.au",Southbank,[Health and Wellbeing],-37.82577,144.96116
Let's laugh,Boyd laughter club,"Come laugh with us to immerse in fun aerobic laughter for a natural high, to ramp up your joy & happiness meter, increase positivity, manage stress and enjoy life enhancing your mind, body, spirit & social well-being.",Tuesday,"Boyd Community Hub, 207 City Road, Southbank, , Victoria, Australia",0408 552 269,"info@laughterclubsvic.org.au, laughterclubsvic.org",Southbank,[Health and Wellbeing],-37.82577,144.96116
