Latitude,Longitude,Address,Phone,Suburb,Municipality,Categories
-37.869153,144.8290721,123 Queen Street  Altona  3018,9932 1330,Altona,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Altona', 'Library']"
-37.87386228,144.7726799,2 Newham Way  Altona Meadows  3025,9932 3020,Altona Meadows,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Altona Meadows', 'Library']"
-37.77402158,144.9155657,165 Union Road  Ascot Vale  3032,8325 1990,Ascot Vale,Moonee Valley City Council,"['Moonee Valley City Council', 'Ascot Vale', 'Library']"
-37.86323577,145.0768989,154 High Street  Ashburton  3147,9278 4633,Ashburton,Boroondara City Council,"['Boroondara City Council', 'Ashburton', 'Library']"
-37.81352265,145.085528,336 Whitehorse Road  Balwyn  3103,9278 4644,Balwyn,Boroondara City Council,"['Boroondara City Council', 'Balwyn', 'Library']"
-37.98180541,145.0337148,96 Reserve Road  Beaumaris  3193,9599 4368,Beaumaris,Bayside City Council,"['Bayside City Council', 'Beaumaris', 'Library']"
-37.90894,145.35256,Reynolds Lane  Belgrave  3160,9754 7266,Belgrave,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Belgrave', 'Library']"
-37.91958552,145.041327,161 Jasper Road  Bentleigh  3204,9557 8278,Bentleigh,Glen Eira City Council,"['Glen Eira City Council', 'Bentleigh', 'Library']"
-37.82169492,145.15225669999995,Cnr Blackburn & Central Roads  Blackburn  3130,9878 6851,Blackburn,Whitehorse City Council,"['Whitehorse City Council', 'Blackburn', 'Library']"
-37.86382,145.28448999999995,Park Crescent  Boronia  3155,9762 4099,Boronia,Knox City Council,"['Knox City Council', 'Boronia', 'Library']"
-37.81834525,145.1267976,1040 Whitehorse Road  Box Hill  3128,9890 1002,Box Hill,Whitehorse City Council,"['Whitehorse City Council', 'Box Hill', 'Library']"
-37.91087399,144.99760700000004,14 Wilson Street  Brighton  3186,9591 5900,Brighton,Bayside City Council,"['Bayside City Council', 'Brighton', 'Library']"
-37.20350566,145.0471688,10/29 Powlett Street  Broadford  3658,5784 3357,Broadford,Mitchell Shire Council,"['Mitchell Shire Council', 'Broadford', 'Library']"
-37.77191,144.961131,Corner of Sydney Road and Dawson Street  Brunswick  3056,9389 8600,Brunswick,Moreland City Council,"['Moreland City Council', 'Brunswick', 'Library']"
-37.76587,145.09179,Bulleen Plaza  Manningham Road  Bulleen  3105,9852 2288,Bulleen,Manningham City Council,"['Manningham City Council', 'Bulleen', 'Library']"
-37.83498667,145.0589637,25 Inglesby Road  Camberwell  3124,9278 4655,Camberwell,Boroondara City Council,"['Boroondara City Council', 'Camberwell', 'Library']"
-37.78951849,144.9715862,667 Rathdowne Street  Carlton  3054,1300 695 427,Carlton,Melbourne City Council,"['Melbourne City Council', 'Carlton', 'Library']"
-37.88744034,145.0582785,7 Shepparson Avenue  Carnegie  3163,9563 0971,Carnegie,Glen Eira City Council,"['Glen Eira City Council', 'Carnegie', 'Library']"
-38.10867319,145.179497,203 Lyrebird Drive  Carrum Downs  3201,9782 0418,Carrum Downs,Frankston City Council,"['Frankston City Council', 'Carrum Downs', 'Library']"
-37.8800209,145.02291,Cnr Glen Eira & Hawthorn Roads  Caulfield  3162,9532 9466,Caulfield,Glen Eira City Council,"['Glen Eira City Council', 'Caulfield', 'Library']"
-38.05060886,145.1161004,1 Chelsea Road  Chelsea  3196,1300 135 668,Chelsea,Kingston City Council,"['Kingston City Council', 'Chelsea', 'Library']"
-37.96766324,145.0565558,12 Stanley Avenue  Cheltenham  3192,1300 135 668,Cheltenham,Bayside City Council,"['Bayside City Council', 'Cheltenham', 'Library']"
-37.94047325,145.10211230000004,58 Viney Street  Clarinda  3169,1300 135 668,Clarinda,Kingston City Council,"['Kingston City Council', 'Clarinda', 'Library']"
-37.92678,145.11851,Cooke Street  Clayton  3168,9544 0668,Clayton,Monash City Council,"['Monash City Council', 'Clayton', 'Library']"
-37.74325,144.96533,Cnr Victoria & Louisa Streets  Coburg  3058,9353 4000,Coburg,Darebin City Council,"['Darebin City Council', 'Coburg', 'Library']"
-37.80443139,144.99308059999996,11 Stanton Street  Abbotsford  Collingwood  3067,1300 695 427,Collingwood,Yarra City Council,"['Yarra City Council', 'Collingwood', 'Library']"
-37.59831531,144.9339585,59 Craigieburn Road  Craigieburn  3064,9308 2511,Craigieburn,Hume City Council,"['Hume City Council', 'Craigieburn', 'Library']"
-38.11468016,145.2965794,65 Berwick-Cranbourne Road  Cranbourne  3977,(03) 5996 3611,Cranbourne,Casey City Council,"['Casey City Council', 'Cranbourne', 'Library']"
-37.80057,145.2817,Civic Square  Croydon  3136,9294 5640,Croydon,Maroondah City Council,"['Maroondah City Council', 'Croydon', 'Library']"
-37.984241,145.217634,Stuart Street  Dandenong  3175,9238 1489,Dandenong,Greater Dandenong City Council,"['Greater Dandenong City Council', 'Dandenong', 'Library']"
-37.75221,144.77732,Cnr Neale & Station Roads  Deer Park  3023,9360 4499,Deer Park,Brimbank City Council,"['Brimbank City Council', 'Deer Park', 'Library']"
-37.994749,145.238459,Autumn Place  Doveton  3177,(03) 9792 9497,Doveton,Casey City Council,"['Casey City Council', 'Doveton', 'Library']"
-37.81537953,144.9865314,122 George St  East Melbourne  3002,9658 9600,East Melbourne,Melbourne City Council,"['Melbourne City Council', 'East Melbourne', 'Library']"
-37.88414449,145.00444869999995,4 Staniland Grove  Elsternwick  3185,9532 9321,Elsternwick,Glen Eira City Council,"['Glen Eira City Council', 'Elsternwick', 'Library']"
-37.716198,145.14616,Panther Place  Eltham  3095,9439 9266,Eltham,Banyule City Council,"['Banyule City Council', 'Eltham', 'Library']"
-37.92952552,145.4450282,400B Belgrave-Gembrook Road  Emerald  3782,5968 3925,Emerald,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Emerald', 'Library']"
-37.978239,145.259917,Raymond McMahon Blvd  Endeavour Hills  3802,(03) 9700 7177,Endeavour Hills,Casey City Council,"['Casey City Council', 'Endeavour Hills', 'Library']"
-37.77758758,145.0193193,121 Station Street  Fairfield  3078,1300 655 355,Fairfield,Darebin City Council,"['Darebin City Council', 'Fairfield', 'Library']"
-37.702514,144.97001699999996,Jukes Road  Fawkner  3060,9355 4200,Fawkner,Moreland City Council,"['Moreland City Council', 'Fawkner', 'Library']"
-37.89044262,145.29121640000002,1010 Burwood Highway  Ferntree Gully  3156,9294 8140,Ferntree Gully,Knox City Council,"['Knox City Council', 'Ferntree Gully', 'Library']"
-37.80171709,144.9790185,128 Moor Street  Fitzroy  3065,1300 695 427,Fitzroy,Yarra City Council,"['Yarra City Council', 'Fitzroy', 'Library']"
-37.78846916,144.930478,313 Racecourse Road  Flemington  3031,8325 1975,Flemington,Melbourne City Council,"['Melbourne City Council', 'Flemington', 'Library']"
-37.80026175,144.8956908,56 Paisley Street  Footscray  3011,9688 0290,Footscray,Maribyrnong City Council,"['Maribyrnong City Council', 'Footscray', 'Library']"
-38.14573441,145.1236738,60 Playne Street  Frankston  3199,9784 1020,Frankston,Frankston City Council,"['Frankston City Council', 'Frankston', 'Library']"
-37.689205,144.890633,Taylor Drive  Gladstone Park  3043,9338 8529,Gladstone Park,Hume City Council,"['Hume City Council', 'Gladstone Park', 'Library']"
-37.70675552,144.9160004,737 Pascoe Vale Road  Glenroy  3046,8311 4100,Glenroy,Moreland City Council,"['Moreland City Council', 'Glenroy', 'Library']"
-37.882133,145.163557,112 Kingsway  Glen Waverley  3150,9560 1655,Glen Waverley,Monash City Council,"['Monash City Council', 'Glen Waverley', 'Library']"
-37.93881793,145.0028226,1D Service Street  Hampton  3188,9599 4362,Hampton,Bayside City Council,"['Bayside City Council', 'Hampton', 'Library']"
-38.03400092,145.2640263,22-26 Stuart Avenue  Hampton Park  3976,(03) 9702 9744,Hampton Park,Casey City Council,"['Casey City Council', 'Hampton Park', 'Library']"
-38.30785043,145.19435180000005,7 High Street  Hastings  3915,5950 1710,Hastings,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Hastings', 'Library']"
-37.82482659,145.03512980000005,584 Glenferrie Road  Hawthorn  3122,9278 4666,Hawthorn,Boroondara City Council,"['Boroondara City Council', 'Hawthorn', 'Library']"
-37.65357046,145.51746830000005,231 Maroondah Highway  Healesville  3777,5962 4423,Healesville,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Healesville', 'Library']"
-37.94907561,145.0433521,310 Highett Road  Highett  3190,1300 135 668,Highett,Bayside City Council,"['Bayside City Council', 'Highett', 'Library']"
-37.76522858,145.0455321,255 Upper Heidelberg Road  Ivanhoe  3079,9497 5780,Ivanhoe,Banyule City Council,"['Banyule City Council', 'Ivanhoe', 'Library']"
-37.719489,144.833112,Kennedy Street  Keilor  3036,9336 4191,Keilor,Brimbank City Council,"['Brimbank City Council', 'Keilor', 'Library']"
-37.807651,145.03448799999995,Cotham Road and Civic Drive  Kew  3101,9278 4677,Kew,Boroondara City Council,"['Boroondara City Council', 'Kew', 'Library']"
-37.29441653,144.95185680000003,12 Sydney St  Kilmore  3764,5782 1322,Kilmore,Mitchell Shire Council,"['Mitchell Shire Council', 'Kilmore', 'Library']"
-37.67289571,145.0177646,2A May Road  Lalor  3075,9465 2353,Lalor,Whittlesea City Council,"['Whittlesea City Council', 'Lalor', 'Library']"
-37.760056,145.353404,Anderson Street  Lilydale  3140,9294 3120,Lilydale,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Lilydale', 'Library']"
-37.85677379,145.0317489,1255 High Street  Malvern  3144,8290 1366,Malvern,Stonnington City Council,"['Stonnington City Council', 'Malvern', 'Library']"
-37.68479291,144.5823561,31 McKenzie Street  Melton  3337,9743 1168,Melton,Melton City Council,"['Melton City Council', 'Melton', 'Library']"
-37.849926,144.96215,Cnr Nimmo and Richardson Streets  Middle Park  3206,9209 6633,Middle Park,Port Phillip City Council,"['Port Phillip City Council', 'Middle Park', 'Library']"
-37.65983185,145.0745429,394 Plenty Road  Mill Park  3082,9437 8189,Mill Park,Whittlesea City Council,"['Whittlesea City Council', 'Mill Park', 'Library']"
-37.81069,145.344717,Cnr Mt Dandenong Tourist & Swansea Roads  Montrose  3765,9728 4224,Montrose,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Montrose', 'Library']"
-37.76469952,144.92504509999995,762-4 Mt Alexander Road  Moonee Ponds  3039,8325 1950,Moonee Ponds,Moonee Valley City Council,"['Moonee Valley City Council', 'Moonee Ponds', 'Library']"
-37.934082,145.038011,Shop 5  Taylor St  Moorabbin  3189,1300 135 668,Moorabbin,Kingston City Council,"['Kingston City Council', 'Moorabbin', 'Library']"
-37.78625114,145.31232219999995,7 Station Street  Mooroolbark  3138,9726 8200,Mooroolbark,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Library']"
-38.217578,145.03651100000005,Cnr Queen & Vancouver Streets  Mornington  3931,5950 1820,Mornington,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Mornington', 'Library']"
-37.784955,145.378683,Wray Crescent  Mount Evelyn  3796,9736 3851,Mount Evelyn,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Mount Evelyn', 'Library']"
-37.87511471,145.12458930000003,41 Miller Crescent  Mount Waverley  3149,9807 1022,Mount Waverley,Monash City Council,"['Monash City Council', 'Mount Waverley', 'Library']"
-38.01931,145.30199,Overland Drive   Narre Warren  3805,(03) 9704 7696,Narre Warren,Casey City Council,"['Casey City Council', 'Narre Warren', 'Library']"
-37.84147961,144.873683,13 Mason Street  Newport  3015,9932 2050,Newport,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Newport', 'Library']"
-37.73615698,144.8889294,483 Keilor Road  Niddrie  3042,8325 1925,Niddrie,Moonee Valley City Council,"['Moonee Valley City Council', 'Niddrie', 'Library']"
-37.7697223,145.00083069999997,32-38 Separation Street  Northcote  3070,1300 655 355,Northcote,Darebin City Council,"['Darebin City Council', 'Northcote', 'Library']"
-37.80355018,144.9497854,66 Errol Street  North Melbourne  3051,9658 9700,North Melbourne,Melbourne City Council,"['Melbourne City Council', 'North Melbourne', 'Library']"
-37.81771962,145.18144880000003,379 Whitehorse Road  Nunawading  3131,9873 5638,Nunawading,Whitehorse City Council,"['Whitehorse City Council', 'Nunawading', 'Library']"
-37.89739163,145.0902037,148 Drummond Street  Oakleigh  3166,9563 4138,Oakleigh,Monash City Council,"['Monash City Council', 'Oakleigh', 'Library']"
-37.99338747,145.07768330000005,96 Parkers Road  Parkdale  3195,1300 135 668,Parkdale,Kingston City Council,"['Kingston City Council', 'Parkdale', 'Library']"
-37.83573218,144.944679,333 Bay Street  Port Melbourne  3207,9209 6644,Port Melbourne,Melbourne City Council,"['Melbourne City Council', 'Port Melbourne', 'Library']"
-37.74017311,145.005606,266 Gower Street  Preston  3070,1300 655 355,Preston,Darebin City Council,"['Darebin City Council', 'Preston', 'Library']"
-37.71510422,145.0055983,17-21 Ralph Street  Reservoir  3073,1300 655 355,Reservoir,Darebin City Council,"['Darebin City Council', 'Reservoir', 'Library']"
-37.82519539,144.9982977,415 Church Street  Richmond  3121,1300 695 427,Richmond,Yarra City Council,"['Yarra City Council', 'Richmond', 'Library']"
-37.81504283,145.22851809999997,4 Melbourne Street S  Ringwood  3134,9870 0177,Ringwood,Maroondah City Council,"['Maroondah City Council', 'Ringwood', 'Library']"
-37.742988,145.067225,Turnham Avenue  Rosanna  3084,9459 6171,Rosanna,Banyule City Council,"['Banyule City Council', 'Rosanna', 'Library']"
-38.357336,144.904627,MacDowell Street  Rosebud  3939,5950 1230,Rosebud,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Rosebud', 'Library']"
-37.919743,145.237253,Stud Rd  Rowville  3178,9294 1300,Rowville,Knox City Council,"['Knox City Council', 'Rowville', 'Library']"
-37.948849,145.00256000000005,Waltham Street  Sandringham  3191,9533 1894,Sandringham,Bayside City Council,"['Bayside City Council', 'Sandringham', 'Library']"
-37.03090355,145.1468516,125 Anzac Avenue  Seymour  3660,5792 1861,Seymour,Mitchell Shire Council,"['Mitchell Shire Council', 'Seymour', 'Library']"
-37.78752639,145.1240868,,,Doncaster,Manningham City Council,"['Manningham City Council', 'Doncaster', 'Library']"
-38.22463319,145.1771129,1085 Frankston Flinders Road  Somerville  3912,5950 1700,Somerville,Mornington Peninsula Shire Council,"['Mornington Peninsula Shire Council', 'Somerville', 'Library']"
-37.9473157,145.15310780000004,411 Springvale Road  Springvale  3171,9239 5398,Springvale,Greater Dandenong City Council,"['Greater Dandenong City Council', 'Springvale', 'Library']"
-37.74179825,144.8006987,71A Alfrieda Street  St Albans  3021,9366 4653,St Albans,Brimbank City Council,"['Brimbank City Council', 'St Albans', 'Library']"
-37.86799981,144.9888216,150 Carlisle Street  St Kilda  3182,9209 6655,St Kilda,Port Phillip City Council,"['Port Phillip City Council', 'St Kilda', 'Library']"
-37.58048400000001,144.73511000000005,Macedon Street  Sunbury  3429,9744 2991,Sunbury,Hume City Council,"['Hume City Council', 'Sunbury', 'Library']"
-37.78331285,144.8321406,301 Hampshire Road  Sunshine  3020,9249 4040,Sunshine,Brimbank City Council,"['Brimbank City Council', 'Sunshine', 'Library']"
-37.67621958,145.005103,52 Main Street  Thomastown  3074,9464 1864,Thomastown,Whittlesea City Council,"['Whittlesea City Council', 'Thomastown', 'Library']"
-37.70224088,144.8736272,59 Spring Street  Tullamarine  3043,9338 9407,Tullamarine,Moreland City Council,"['Moreland City Council', 'Tullamarine', 'Library']"
-37.854452,145.181337,Pavey Place  Vermont South  3133,9887 9646,Vermont South,Whitehorse City Council,"['Whitehorse City Council', 'Vermont South', 'Library']"
-37.41242,144.97808999999995,Wellington Square  Wallan  3756,5783 3555,Wallan,Mitchell Shire Council,"['Mitchell Shire Council', 'Wallan', 'Library']"
-37.71041544,145.0831915,4-6 Ibbottson Street  Watsonia  3087,9435 2397,Watsonia,Banyule City Council,"['Banyule City Council', 'Watsonia', 'Library']"
-37.87698,144.68209,Cnr Heaths and Derrimut Roads  Werribee  3030,9748 9333,Werribee,Wyndham City Council,"['Wyndham City Council', 'Werribee', 'Library']"
-37.90724132,145.19058700000005,860 Ferntree Gully Road  Wheelers Hill  3150,9561 6211,Wheelers Hill,Monash City Council,"['Monash City Council', 'Wheelers Hill', 'Library']"
-37.85851898,144.8962876,104 Ferguson Street  Williamstown  3018,9932 4170,Williamstown,Hobsons Bay City Council,"['Hobsons Bay City Council', 'Williamstown', 'Library']"
-37.782293,145.611898,Hoddle Street  Yarra Junction  3797,5967 1588,Yarra Junction,Yarra Ranges Shire Council,"['Yarra Ranges Shire Council', 'Yarra Junction', 'Library']"
-37.82044843,144.8736464,32 Wembley Avenue  Yarraville  3013,9688 0294,Yarraville,Maribyrnong City Council,"['Maribyrnong City Council', 'Yarraville', 'Library']"
