,Municipality,Suburb
0,Casey City Council,Botanic Ridge
1,Casey City Council,Berwick
2,Port Phillip City Council,St Kilda
3,Melbourne City Council,South Yarra
4,Hobsons Bay City Council,Williamstown
5,Mornington Peninsula Shire Council,Cape Schanck
6,Mornington Peninsula Shire Council,Flinders
7,Mornington Peninsula Shire Council,Boneo
8,Mornington Peninsula Shire Council,Portsea
9,Casey City Council,Endeavour Hills
10,Yarra Ranges Shire Council,The Basin
11,Yarra Ranges Shire Council,Lysterfield
12,Bayside City Council,Beaumaris
13,Brimbank City Council,Bulla
14,Nillumbik Shire Council,Steels Creek
15,Wyndham City Council,Point Cook
16,Hume City Council,Melbourne Airport
17,Hobsons Bay City Council,Altona Meadows
18,Hobsons Bay City Council,Altona
19,Hobsons Bay City Council,Altona North
20,Hobsons Bay City Council,Williamstown North
21,Hobsons Bay City Council,Seaholme
22,Hobsons Bay City Council,Newport
23,Hobsons Bay City Council,Laverton
24,Hobsons Bay City Council,Brooklyn
25,Hobsons Bay City Council,Spotswood
26,Hobsons Bay City Council,South Kingsville
27,Hobsons Bay City Council,Seabrook
28,Hobsons Bay City Council,Port Melbourne
29,Mornington Peninsula Shire Council,Mornington
30,Mornington Peninsula Shire Council,Main Ridge
31,Mornington Peninsula Shire Council,Mount Eliza
32,Mornington Peninsula Shire Council,Hastings
33,Mornington Peninsula Shire Council,Balnarring
34,Mornington Peninsula Shire Council,Rye
35,Mornington Peninsula Shire Council,Baxter
36,Mornington Peninsula Shire Council,Mount Martha
37,Mornington Peninsula Shire Council,Red Hill
38,Mornington Peninsula Shire Council,Somers
39,Mornington Peninsula Shire Council,Rosebud
40,Mornington Peninsula Shire Council,Somerville
41,Mornington Peninsula Shire Council,McCrae
42,Mornington Peninsula Shire Council,Balnarring Beach
43,Mornington Peninsula Shire Council,Crib Point
44,Mornington Peninsula Shire Council,Arthurs Seat
45,Mornington Peninsula Shire Council,Dromana
46,Mornington Peninsula Shire Council,Merricks North
47,Mornington Peninsula Shire Council,Tyabb
48,Mornington Peninsula Shire Council,Blairgowrie
49,Mornington Peninsula Shire Council,Sorrento
50,Mornington Peninsula Shire Council,Moorooduc
51,Mornington Peninsula Shire Council,Safety Beach
52,Mornington Peninsula Shire Council,Bittern
53,Mornington Peninsula Shire Council,Tootgarook
54,Mornington Peninsula Shire Council,Red Hill South
55,Mornington Peninsula Shire Council,Shoreham
56,Mornington Peninsula Shire Council,Point Leo
57,Mornington Peninsula Shire Council,Capel Sound
58,Mornington Peninsula Shire Council,Tuerong
59,Casey City Council,Narre Warren North
60,Casey City Council,Cranbourne
61,Casey City Council,Narre Warren
62,Casey City Council,Lynbrook
63,Casey City Council,Cranbourne West
64,Casey City Council,Doveton
65,Casey City Council,Hallam
66,Casey City Council,Cranbourne North
67,Casey City Council,Eumemmerring
68,Casey City Council,Lyndhurst
69,Casey City Council,Cranbourne South
70,Casey City Council,Pearcedale
71,Casey City Council,Narre Warren South
72,Casey City Council,Hampton Park
73,Maribyrnong City Council,Maidstone
74,Maribyrnong City Council,West Footscray
75,Maribyrnong City Council,Yarraville
76,Maribyrnong City Council,Braybrook
77,Maribyrnong City Council,Footscray
78,Maribyrnong City Council,Maribyrnong
79,Maribyrnong City Council,Spotswood
80,Maroondah City Council,Ringwood East
81,Maroondah City Council,Croydon
82,Maroondah City Council,Kilsyth South
83,Maroondah City Council,Ringwood North
84,Maroondah City Council,Mooroolbark
85,Maroondah City Council,Ringwood
86,Maroondah City Council,Croydon South
87,Maroondah City Council,Croydon North
88,Maroondah City Council,Croydon Hills
89,Maroondah City Council,Bayswater North
90,Maroondah City Council,Heathmont
91,Maroondah City Council,Kilsyth
92,Maroondah City Council,Warranwood
93,Moonee Valley City Council,Airport West
94,Moonee Valley City Council,Aberfeldie
95,Moonee Valley City Council,Ascot Vale
96,Moonee Valley City Council,Strathmore Heights
97,Moonee Valley City Council,Essendon
98,Moonee Valley City Council,Essendon West
99,Moonee Valley City Council,Travancore
100,Moonee Valley City Council,Pascoe Vale South
101,Moonee Valley City Council,Flemington
102,Moonee Valley City Council,Avondale Heights
103,Moonee Valley City Council,Moonee Ponds
104,Moonee Valley City Council,Strathmore
105,Moonee Valley City Council,Keilor East
106,Banyule City Council,Watsonia
107,Banyule City Council,Eaglemont
108,Banyule City Council,Greensborough
109,Banyule City Council,Heidelberg
110,Banyule City Council,Viewbank
111,Banyule City Council,Watsonia North
112,Banyule City Council,Ivanhoe East
113,Banyule City Council,Rosanna
114,Banyule City Council,Macleod
115,Banyule City Council,Ivanhoe
116,Banyule City Council,Lower Plenty
117,Banyule City Council,Heidelberg West
118,Banyule City Council,Bellfield
119,Banyule City Council,Montmorency
120,Banyule City Council,Bundoora
121,Banyule City Council,Eltham North
122,Banyule City Council,Heidelberg Heights
123,Banyule City Council,St Helena
124,Moreland City Council,Coburg North
125,Moreland City Council,Brunswick
126,Moreland City Council,Brunswick East
127,Moreland City Council,Brunswick West
128,Moreland City Council,Fawkner
129,Moreland City Council,Coburg
130,Moreland City Council,Moonee Ponds
131,Moreland City Council,Glenroy
132,Moreland City Council,Pascoe Vale South
133,Moreland City Council,Oak Park
134,Moreland City Council,Pascoe Vale
135,Moreland City Council,Travancore
136,Moreland City Council,Hadfield
137,Moreland City Council,Strathmore Heights
138,Darebin City Council,Brunswick East
139,Darebin City Council,Northcote
140,Darebin City Council,Reservoir
141,Darebin City Council,Kingsbury
142,Darebin City Council,Coburg
143,Darebin City Council,Coburg North
144,Darebin City Council,Preston
145,Darebin City Council,Thornbury
146,Darebin City Council,Alphington
147,Yarra Ranges Shire Council,Tremont
148,Yarra Ranges Shire Council,Sassafras
149,Yarra Ranges Shire Council,Belgrave South
150,Yarra Ranges Shire Council,Belgrave
151,Yarra Ranges Shire Council,Mount Evelyn
152,Yarra Ranges Shire Council,The Patch
153,Yarra Ranges Shire Council,Menzies Creek
154,Yarra Ranges Shire Council,Badger Creek
155,Yarra Ranges Shire Council,McMahons Creek
156,Yarra Ranges Shire Council,Olinda
157,Yarra Ranges Shire Council,Kilsyth
158,Yarra Ranges Shire Council,Yarra Junction
159,Yarra Ranges Shire Council,Dixons Creek
160,Yarra Ranges Shire Council,Healesville
161,Yarra Ranges Shire Council,Ferny Creek
162,Yarra Ranges Shire Council,Montrose
163,Yarra Ranges Shire Council,Sherbrooke
164,Yarra Ranges Shire Council,Upper Ferntree Gully
165,Yarra Ranges Shire Council,Mount Dandenong
166,Yarra Ranges Shire Council,Kalorama
167,Yarra Ranges Shire Council,Mooroolbark
168,Yarra Ranges Shire Council,Chirnside Park
169,Yarra Ranges Shire Council,Selby
170,Yarra Ranges Shire Council,Lilydale
171,Yarra Ranges Shire Council,Upwey
172,Yarra Ranges Shire Council,Coldstream
173,Yarra Ranges Shire Council,Steels Creek
174,Yarra Ranges Shire Council,Albanvale
175,Yarra Ranges Shire Council,Yellingbo
176,Frankston City Council,Frankston
177,Frankston City Council,Frankston South
178,Frankston City Council,Baxter
179,Frankston City Council,Seaford
180,Frankston City Council,Carrum Downs
181,Frankston City Council,Frankston North
182,Frankston City Council,Langwarrin
183,Frankston City Council,Skye
184,Whitehorse City Council,Vermont
185,Whitehorse City Council,Mitcham
186,Whitehorse City Council,Burwood East
187,Whitehorse City Council,Burwood
188,Whitehorse City Council,Blackburn
189,Whitehorse City Council,Surrey Hills
190,Whitehorse City Council,Box Hill North
191,Whitehorse City Council,Box Hill
192,Whitehorse City Council,Mont Albert North
193,Whitehorse City Council,Box Hill South
194,Whitehorse City Council,Blackburn North
195,Whitehorse City Council,Nunawading
196,Whitehorse City Council,Balwyn
197,Whitehorse City Council,Vermont South
198,Whitehorse City Council,Blackburn South
199,Boroondara City Council,Kew
200,Boroondara City Council,Hawthorn East
201,Boroondara City Council,Ashburton
202,Boroondara City Council,Glen Iris
203,Boroondara City Council,Balwyn
204,Boroondara City Council,Hawthorn
205,Boroondara City Council,Deepdene
206,Boroondara City Council,Balwyn North
207,Boroondara City Council,Canterbury
208,Boroondara City Council,Camberwell
209,Boroondara City Council,Kew East
210,Boroondara City Council,Surrey Hills
211,Greater Dandenong City Council,Keysborough
212,Greater Dandenong City Council,Dandenong
213,Greater Dandenong City Council,Noble Park
214,Greater Dandenong City Council,Springvale South
215,Greater Dandenong City Council,Dandenong North
216,Greater Dandenong City Council,Springvale
217,Manningham City Council,Park Orchards
218,Manningham City Council,North Warrandyte
219,Manningham City Council,Ivanhoe East
220,Manningham City Council,Templestowe
221,Manningham City Council,Doncaster East
222,Manningham City Council,Wonga Park
223,Manningham City Council,Donvale
224,Manningham City Council,Templestowe Lower
225,Manningham City Council,Mitcham
226,Manningham City Council,Warrandyte
227,Manningham City Council,Doncaster
228,Manningham City Council,Viewbank
229,Manningham City Council,Bulleen
