,Municipality,Suburb
0,casey city council,botanic ridge
1,casey city council,berwick
2,port phillip city council,st kilda
3,melbourne city council,south yarra
4,hobsons bay city council,williamstown
5,mornington peninsula shire council,cape schanck
6,mornington peninsula shire council,flinders
7,mornington peninsula shire council,boneo
8,mornington peninsula shire council,portsea
9,casey city council,endeavour hills
10,yarra ranges shire council,the basin
11,yarra ranges shire council,lysterfield
12,bayside city council,beaumaris
13,brimbank city council,bulla
14,nillumbik shire council,steels creek
15,wyndham city council,point cook
16,hume city council,melbourne airport
17,hobsons bay city council,altona meadows
18,hobsons bay city council,altona
19,hobsons bay city council,altona north
20,hobsons bay city council,williamstown north
21,hobsons bay city council,seaholme
22,hobsons bay city council,newport
23,hobsons bay city council,laverton
24,hobsons bay city council,brooklyn
25,hobsons bay city council,spotswood
26,hobsons bay city council,south kingsville
27,hobsons bay city council,seabrook
28,hobsons bay city council,port melbourne
29,mornington peninsula shire council,mornington
30,mornington peninsula shire council,main ridge
31,mornington peninsula shire council,mount eliza
32,mornington peninsula shire council,hastings
33,mornington peninsula shire council,balnarring
34,mornington peninsula shire council,rye
35,mornington peninsula shire council,baxter
36,mornington peninsula shire council,mount martha
37,mornington peninsula shire council,red hill
38,mornington peninsula shire council,somers
39,mornington peninsula shire council,rosebud
40,mornington peninsula shire council,somerville
41,mornington peninsula shire council,mccrae
42,mornington peninsula shire council,balnarring beach
43,mornington peninsula shire council,crib point
44,mornington peninsula shire council,arthurs seat
45,mornington peninsula shire council,dromana
46,mornington peninsula shire council,merricks north
47,mornington peninsula shire council,tyabb
48,mornington peninsula shire council,blairgowrie
49,mornington peninsula shire council,sorrento
50,mornington peninsula shire council,moorooduc
51,mornington peninsula shire council,safety beach
52,mornington peninsula shire council,bittern
53,mornington peninsula shire council,tootgarook
54,mornington peninsula shire council,red hill south
55,mornington peninsula shire council,shoreham
56,mornington peninsula shire council,point leo
57,mornington peninsula shire council,capel sound
58,mornington peninsula shire council,tuerong
59,casey city council,narre warren north
60,casey city council,cranbourne
61,casey city council,narre warren
62,casey city council,lynbrook
63,casey city council,cranbourne west
64,casey city council,doveton
65,casey city council,hallam
66,casey city council,cranbourne north
67,casey city council,eumemmerring
68,casey city council,lyndhurst
69,casey city council,cranbourne south
70,casey city council,pearcedale
71,casey city council,narre warren south
72,casey city council,hampton park
73,maribyrnong city council,maidstone
74,maribyrnong city council,west footscray
75,maribyrnong city council,yarraville
76,maribyrnong city council,braybrook
77,maribyrnong city council,footscray
78,maribyrnong city council,maribyrnong
79,maroondah city council,ringwood east
80,maroondah city council,croydon
81,maroondah city council,kilsyth south
82,maroondah city council,ringwood north
83,maroondah city council,mooroolbark
84,maroondah city council,ringwood
85,maroondah city council,croydon south
86,maroondah city council,croydon north
87,maroondah city council,croydon hills
88,maroondah city council,bayswater north
89,maroondah city council,heathmont
90,maroondah city council,kilsyth
91,maroondah city council,warranwood
92,moonee valley city council,airport west
93,moonee valley city council,aberfeldie
94,moonee valley city council,ascot vale
95,moonee valley city council,strathmore heights
96,moonee valley city council,essendon
97,moonee valley city council,essendon west
98,moonee valley city council,travancore
99,moonee valley city council,pascoe vale south
100,moonee valley city council,flemington
101,moonee valley city council,avondale heights
102,moonee valley city council,moonee ponds
103,moonee valley city council,strathmore
104,moonee valley city council,keilor east
105,banyule city council,watsonia
106,banyule city council,eaglemont
107,banyule city council,greensborough
108,banyule city council,heidelberg
109,banyule city council,viewbank
110,banyule city council,watsonia north
111,banyule city council,ivanhoe east
112,banyule city council,rosanna
113,banyule city council,macleod
114,banyule city council,ivanhoe
115,banyule city council,lower plenty
116,banyule city council,heidelberg west
117,banyule city council,bellfield
118,banyule city council,montmorency
119,banyule city council,bundoora
120,banyule city council,eltham north
121,banyule city council,heidelberg heights
122,banyule city council,st helena
123,moreland city council,coburg north
124,moreland city council,brunswick
125,moreland city council,brunswick east
126,moreland city council,brunswick west
127,moreland city council,fawkner
128,moreland city council,coburg
129,moreland city council,glenroy
130,moreland city council,oak park
131,moreland city council,pascoe vale
132,moreland city council,hadfield
133,darebin city council,northcote
134,darebin city council,reservoir
135,darebin city council,kingsbury
136,darebin city council,preston
137,darebin city council,thornbury
138,darebin city council,alphington
139,yarra ranges shire council,tremont
140,yarra ranges shire council,sassafras
141,yarra ranges shire council,belgrave south
142,yarra ranges shire council,belgrave
143,yarra ranges shire council,mount evelyn
144,yarra ranges shire council,the patch
145,yarra ranges shire council,menzies creek
146,yarra ranges shire council,badger creek
147,yarra ranges shire council,mcmahons creek
148,yarra ranges shire council,olinda
149,yarra ranges shire council,yarra junction
150,yarra ranges shire council,dixons creek
151,yarra ranges shire council,healesville
152,yarra ranges shire council,ferny creek
153,yarra ranges shire council,montrose
154,yarra ranges shire council,sherbrooke
155,yarra ranges shire council,upper ferntree gully
156,yarra ranges shire council,mount dandenong
157,yarra ranges shire council,kalorama
158,yarra ranges shire council,chirnside park
159,yarra ranges shire council,selby
160,yarra ranges shire council,lilydale
161,yarra ranges shire council,upwey
162,yarra ranges shire council,coldstream
163,yarra ranges shire council,albanvale
164,yarra ranges shire council,yellingbo
165,frankston city council,frankston
166,frankston city council,frankston south
167,frankston city council,seaford
168,frankston city council,carrum downs
169,frankston city council,frankston north
170,frankston city council,langwarrin
171,frankston city council,skye
172,whitehorse city council,vermont
173,whitehorse city council,mitcham
174,whitehorse city council,burwood east
175,whitehorse city council,burwood
176,whitehorse city council,blackburn
177,whitehorse city council,surrey hills
178,whitehorse city council,box hill north
179,whitehorse city council,box hill
180,whitehorse city council,mont albert north
181,whitehorse city council,box hill south
182,whitehorse city council,blackburn north
183,whitehorse city council,nunawading
184,whitehorse city council,balwyn
185,whitehorse city council,vermont south
186,whitehorse city council,blackburn south
187,boroondara city council,kew
188,boroondara city council,hawthorn east
189,boroondara city council,ashburton
190,boroondara city council,glen iris
191,boroondara city council,hawthorn
192,boroondara city council,deepdene
193,boroondara city council,balwyn north
194,boroondara city council,canterbury
195,boroondara city council,camberwell
196,boroondara city council,kew east
197,greater dandenong city council,keysborough
198,greater dandenong city council,dandenong
199,greater dandenong city council,noble park
200,greater dandenong city council,springvale south
201,greater dandenong city council,dandenong north
202,greater dandenong city council,springvale
203,manningham city council,park orchards
204,manningham city council,north warrandyte
205,manningham city council,templestowe
206,manningham city council,doncaster east
207,manningham city council,wonga park
208,manningham city council,donvale
209,manningham city council,templestowe lower
210,manningham city council,warrandyte
211,manningham city council,doncaster
212,manningham city council,bulleen
213,knox city council,rowville
214,knox city council,wantirna south
215,knox city council,scoresby
216,knox city council,bayswater
217,knox city council,ferntree gully
218,knox city council,knoxfield
219,knox city council,wantirna
220,knox city council,boronia
221,port phillip city council,middle park
222,port phillip city council,albert park
223,port phillip city council,balaclava
224,port phillip city council,south melbourne
225,port phillip city council,elwood
226,bayside city council,hampton
227,bayside city council,hampton east
228,bayside city council,brighton east
229,bayside city council,brighton
230,bayside city council,sandringham
231,bayside city council,highett
232,bayside city council,cheltenham
233,bayside city council,black rock
234,melbourne city council,carlton
235,melbourne city council,kensington
236,melbourne city council,north melbourne
237,melbourne city council,melbourne city
238,melbourne city council,docklands
239,melbourne city council,east melbourne
240,melbourne city council,parkville
241,melbourne city council,west melbourne
242,melbourne city council,southbank
243,melbourne city council,carlton north
244,brimbank city council,ardeer
245,brimbank city council,sunshine
246,brimbank city council,st albans
247,brimbank city council,derrimut
248,brimbank city council,albion
249,brimbank city council,kealba
250,brimbank city council,deer park
251,brimbank city council,keilor
252,brimbank city council,keilor park
253,brimbank city council,cairnlea
254,brimbank city council,taylors lakes
255,brimbank city council,keilor downs
256,brimbank city council,delahey
257,brimbank city council,kings park
258,brimbank city council,sunshine west
259,brimbank city council,sunshine north
260,brimbank city council,sydenham
261,brimbank city council,hillside
262,brimbank city council,keilor lodge
263,nillumbik shire council,eltham
264,nillumbik shire council,hurstbridge
265,nillumbik shire council,panton hill
266,nillumbik shire council,diamond creek
267,nillumbik shire council,plenty
268,nillumbik shire council,yarrambat
269,kingston city council,aspendale
270,kingston city council,heatherton
271,kingston city council,bonbeach
272,kingston city council,parkdale
273,kingston city council,braeside
274,kingston city council,mordialloc
275,kingston city council,dingley village
276,kingston city council,edithvale
277,kingston city council,moorabbin
278,kingston city council,patterson lakes
279,kingston city council,clayton south
280,kingston city council,mentone
281,kingston city council,aspendale gardens
282,kingston city council,oakleigh south
283,kingston city council,clarinda
284,yarra city council,richmond
285,yarra city council,clifton hill
286,yarra city council,fitzroy north
287,yarra city council,fairfield
288,yarra city council,burnley
289,monash city council,glen waverley
290,monash city council,wheelers hill
291,monash city council,mount waverley
292,monash city council,ashwood
293,monash city council,clayton
294,monash city council,chadstone
295,monash city council,notting hill
296,wyndham city council,little river
297,wyndham city council,werribee
298,wyndham city council,werribee south
