Address,Business Category,Name,Postcode,Suburb,Municipality,Categories
405 Camberwell Road,Volunteering,Boroondara Volunteer Resource Centre,3124,Camberwell,Boroondara City Council,"['Boroondara City Council', 'Camberwell', 'Volunteering']"
"Fiddler's Green Retirement Village, 57 Gloucester Avenue",Volunteering,Casey U3A Inc.,3806,Berwick,Casey City Council,"['Casey City Council', 'Berwick', 'Volunteering']"
"Shop 111, Epping Plaza, Cnr Cooper & High Streets",Volunteering,Community Information Whittlesea,3076,Epping,Whittlesea City Council,"['Whittlesea City Council', 'Epping', 'Volunteering']"
"Community Information Whittlesea, Shop 111, Epping Plaza",Volunteering,Whittlesea Volunteer Resource Service ,3076,Epping,Whittlesea City Council,"['Whittlesea City Council', 'Epping', 'Volunteering']"
214 Mount Dandenong Road,Volunteering,Croydon U3A Inc.,3136,Croydon,Maroondah City Council,"['Maroondah City Council', 'Croydon', 'Volunteering']"
32 Greenwood Avenue,Volunteering,Eastern Volunteer Resource Centre,3134,Ringwood,Maroondah City Council,"['Maroondah City Council', 'Ringwood', 'Volunteering']"
"Emerald Community House, Main Road",Volunteering,Emerald U3A Inc.,3782,Emerald,Cardinia Shire Council,"['Cardinia Shire Council', 'Emerald', 'Volunteering']"
PO Box 287 ,Volunteering,Endowment Australasia,3084,Rosanna,Banyule City Council,"['Banyule City Council', 'Rosanna', 'Volunteering']"
1151 Glen Huntly Road,Volunteering,Glen Eira U3A Inc.,3163,Glen Huntly,Glen Eira City Council,"['Glen Eira City Council', 'Glen Huntly', 'Volunteering']"
"C/- Community Information Glen Eira, 256 Hawthorn Road",Volunteering,Glen Eira Volunteer Information Service,3162,Caulfield,Glen Eira City Council,"['Glen Eira City Council', 'Caulfield', 'Volunteering']"
26 Sinclair Avenue,Volunteering,Hawthorn U3A,3146,Glen Iris,Stonnington City Council,"['Stonnington City Council', 'Glen Iris', 'Volunteering']"
"Highvale Village, 124/42 Capital Avenue",Volunteering,Highvale U3A Inc.,3150,Glen Waverley,Monash City Council,"['Monash City Council', 'Glen Waverley', 'Volunteering']"
583 Ferntree Gully Road,Volunteering,Monash Volunteer Resource Centre,3150,Glen Waverley,Monash City Council,"['Monash City Council', 'Glen Waverley', 'Volunteering']"
"An Talla of Dallas, Gibb Reserve, Blair Street ",Volunteering,Hume U3A Inc.,3047,Dallas,Hume City Council,"['Hume City Council', 'Dallas', 'Volunteering']"
"The Old Court House, 37 Albert Street",Volunteering,Kingston U3A Inc,3195,Mordialloc,Kingston City Council,"['Kingston City Council', 'Mordialloc', 'Volunteering']"
658 Mountain Highway,Volunteering,Knox Community Volunteers,3153,Bayswater,Knox City Council,"['Knox City Council', 'Bayswater', 'Volunteering']"
"Moonee Valley Access Centre, Kellaway Avenue",Volunteering,Moonee Valley Region U3A Inc,3039,Moonee Ponds,Moonee Valley City Council,"['Moonee Valley City Council', 'Moonee Ponds', 'Volunteering']"
25 Dawson Street,Volunteering,Moreland U3A Inc.,3056,Brunswick,Moreland City Council,"['Moreland City Council', 'Brunswick', 'Volunteering']"
"U3A House, 45 James Street",Volunteering,Pakenham & District U3A Inc,3810,Pakenham,Cardinia Shire Council,"['Cardinia Shire Council', 'Pakenham', 'Volunteering']"
PO Box 767,Volunteering,Seymour and District U3A,3661,Seymour,Mitchell Shire Council,"['Mitchell Shire Council', 'Seymour', 'Volunteering']"
238 George Street,Volunteering,Shekinah Homeless Services Inc.,3065,Fitzroy,Yarra City Council,"['Yarra City Council', 'Fitzroy', 'Volunteering']"
288 Brunswick Street,"State body,Volunteering",The Wilderness Society,3065,Fitzroy,Yarra City Council,"['Yarra City Council', 'Fitzroy', 'Volunteering']"
186 Foster Street East,Volunteering,South Eastern Volunteer Resource Service,3175,Dandenong,Greater Dandenong City Council,"['Greater Dandenong City Council', 'Dandenong', 'Volunteering']"
"Building 27, Sunbury University",Volunteering,Sunbury U3A Inc.,3429,Sunbury,Hume City Council,"['Hume City Council', 'Sunbury', 'Volunteering']"
29 York Avenue,Volunteering,The Ampersand Network,3079,Ivanhoe,Banyule City Council,"['Banyule City Council', 'Ivanhoe', 'Volunteering']"
"Druid's House, 6th Floor",Volunteering,The East West Overseas Aid Foundation,3000,Melbourne,Port Phillip City Council,"['Port Phillip City Council', 'Melbourne', 'Volunteering']"
Eighth Floor,Volunteering,The U3A Network - Victoria Inc,3000,Melbourne,Port Phillip City Council,"['Port Phillip City Council', 'Melbourne', 'Volunteering']"
